Precip,NDVI,EVI,GPP,LSTDay,LSTNight,Elevation,RZSM,SURFSM,Clay,Sand,Silt,BD,In-Situ
0,0.5676,0.2918,0.036438,NaN,282.2,244,0.25234,0.26742,20,40,41,1.51,0.32475
34.172,0.5676,0.2918,0.036438,288.74,NaN,244,0.26054,0.30462,20,40,41,1.51,0.35878
0,0.5676,0.2918,0.036438,NaN,NaN,244,0.2582,0.284,20,40,41,1.51,0.36025
0,0.5676,0.2918,0.036438,NaN,NaN,244,0.25586,0.28006,20,40,41,1.51,0.3465
0,0.5676,0.2918,0.036438,294.86,NaN,244,0.25487,0.28207,20,40,41,1.51,0.34162
0,0.5676,0.2918,0.036438,NaN,280.84,244,0.25221,0.26166,20,40,41,1.51,0.34025
0,0.5676,0.2918,0.036438,NaN,NaN,244,0.25287,0.27891,20,40,41,1.51,0.335
0,0.577,0.3292,0.019541,NaN,NaN,244,0.25565,0.28467,20,40,41,1.51,0.33308
0,0.577,0.3292,0.019541,297.74,288.26,244,0.25313,0.2731,20,40,41,1.51,0.33313
0,0.577,0.3292,0.019541,NaN,NaN,244,0.2518,0.27321,20,40,41,1.51,0.33217
32.753,0.577,0.3292,0.019541,NaN,NaN,244,0.25558,0.28957,20,40,41,1.51,0.34038
15.239,0.577,0.3292,0.019541,NaN,NaN,244,0.2556,0.27344,20,40,41,1.51,0.35738
7.6197,0.577,0.3292,0.019541,NaN,285.26,244,0.25189,0.25848,20,40,41,1.51,0.34475
0,0.577,0.3292,0.019541,NaN,NaN,244,0.25184,0.27599,20,40,41,1.51,0.33708
10.16,0.577,0.3292,0.019541,NaN,NaN,244,0.25718,0.29894,20,40,41,1.51,0.35471
7.6197,0.577,0.3292,0.037255,NaN,NaN,244,0.25731,0.30029,20,40,41,1.51,0.36908
19.776,0.577,0.3292,0.037255,NaN,NaN,244,0.2569,0.29826,20,40,41,1.51,0.36267
29.663,0.577,0.3292,0.037255,NaN,NaN,244,0.26309,0.30892,20,40,41,1.51,0.37025
0,0.577,0.3292,0.037255,NaN,NaN,244,0.26023,0.28763,20,40,41,1.51,0.37425
0,0.577,0.3292,0.037255,NaN,NaN,244,0.26215,0.30817,20,40,41,1.51,0.37433
9.8878,0.577,0.3292,0.037255,NaN,288.24,244,0.2629,0.29887,20,40,41,1.51,0.38096
0,0.577,0.3292,0.037255,293.1,284.92,244,0.25874,0.28013,20,40,41,1.51,0.37321
0,0.577,0.3292,0.037255,297.44,282.26,244,0.25573,0.26803,20,40,41,1.51,0.35354
0,0.6626,0.4016,0.048418,NaN,287.96,244,0.2546,0.27271,20,40,41,1.51,0.34258
0,0.6626,0.4016,0.048418,298.92,NaN,244,0.25337,0.26803,20,40,41,1.51,0.33638
